timestamp, latitude, longitude 
1545372499,-32.0106,-165.7000
1545372509,-32.4513,-165.1793
1545372519,-32.8896,-164.6530
1545372529,-33.3252,-164.1210
1545372539,-33.7582,-163.5833
1545372549,-34.1884,-163.0398
1545372559,-34.6158,-162.4903
1545372569,-35.0402,-161.9348
1545372579,-35.4617,-161.3730
1545372589,-35.8802,-160.8049
1545372599,-36.2954,-160.2304
1545372609,-36.7077,-159.6491
1545372619,-37.1165,-159.0612
1545372629,-37.5220,-158.4665
1545372639,-37.9240,-157.8650
1545372649,-38.3224,-157.2564
1545372659,-38.7171,-156.6408
1545372669,-39.1081,-156.0177
1545372679,-39.4953,-155.3874
1545372689,-39.8786,-154.7496
1545372699,-40.2578,-154.1041
1545372709,-40.6329,-153.4511
1545372719,-41.0037,-152.7903
1545372729,-41.3702,-152.1215
1545372739,-41.7143,-151.4787
1545372749,-42.0721,-150.7942
1545372759,-42.4254,-150.1013
1545372769,-42.7738,-149.4003
1545372779,-43.1173,-148.6911
1545372789,-43.4558,-147.9735
1545372799,-43.7892,-147.2473
1545372809,-44.1174,-146.5127
1545372819,-44.4403,-145.7694
1545372829,-44.7577,-145.0175
1545372839,-45.0696,-144.2570
1545372849,-45.3757,-143.4877
1545372859,-45.6761,-142.7097
1545372869,-45.9704,-141.9230
1545372879,-46.2588,-141.1274
1545372889,-46.5409,-140.3231
1545372899,-46.8167,-139.5102
1545372909,-47.0861,-138.6885
1545372919,-47.3489,-137.8582
1545372929,-47.6049,-137.0193
1545372939,-47.8542,-136.1719
1545372949,-48.0965,-135.3160
1545372959,-48.3318,-134.4517
1545372969,-48.5598,-133.5792
1545372979,-48.7806,-132.6986
1545372989,-48.9939,-131.8099
1545372999,-49.1895,-130.9584
1545373009,-49.3879,-130.0546
1545373019,-49.5786,-129.1432
1545373029,-49.7614,-128.2245
1545373040,-49.9447,-127.2523
1545373049,-50.1028,-126.3660
1545373059,-50.2612,-125.4267
1545373069,-50.4113,-124.4811
